,occupancy,j_k,j_w,flip_0,flip_1,flip_2,flip_3,flip_4,flip_5
45,WKKKKW,2,0,4,0,0,0,0,0
46,KK0KKW,0,0,4,0,0,0,0,0
47,CK0KKW,1,0,4,0,0,0,0,0
48,KKK0KW,-3,0,4,0,0,0,0,0
49,WKKKKW,3,0,4,0,0,0,0,0
50,KKK0KC,0,0,4,0,0,0,0,0
51,KKK0KC,-3,0,4,0,0,0,0,0
52,WKKKKW,0,0,4,0,0,0,0,0
53,WKKKKW,0,0,4,0,0,0,0,0
54,WKKKKW,0,0,4,0,0,0,0,0
55,WKKKKW,0,0,4,0,0,0,0,0
56,WKKKKW,0,0,4,0,0,0,0,0
57,WKKKKW,0,0,4,0,0,0,0,0
58,WKKKKW,0,0,4,0,0,0,0,0
59,WKKKKW,0,0,4,0,0,0,0,0
60,WKKKKW,0,0,4,0,0,0,0,0
61,WKKKKW,0,0,4,0,0,0,0,0
62,WKKKKW,0,0,4,0,0,0,0,0
63,WKKKKW,1,0,4,0,0,0,0,0
64,C0KKKW,-1,0,4,0,0,0,0,0
65,WKKKKW,0,0,4,0,0,0,0,0
66,WKKKKW,0,0,4,0,0,0,0,0
67,WKKKKW,0,0,4,0,0,0,0,0
68,WKKKKW,0,0,4,0,0,0,0,0
69,WKKKKW,2,0,4,0,0,0,0,0
70,KK0KKW,0,0,4,0,0,0,0,0
71,CK0KKC,-1,0,4,0,0,0,0,0
72,K0KKKC,2,0,4,0,0,0,0,0
73,KKK0KC,0,0,4,0,0,0,0,0
74,KKK0KW,-2,0,4,0,0,0,0,0
75,K0KKKW,0,0,4,0,0,0,0,0
76,K0KKKW,-1,0,4,0,0,0,0,0
77,WKKKKW,0,0,4,0,0,0,0,0
78,WKKKKW,0,0,4,0,0,0,0,0
79,WKKKKW,0,0,4,0,0,0,0,0
80,WKKKKW,0,0,4,0,0,0,0,0
81,WKKKKW,2,0,4,0,0,0,0,0
82,KK0KKW,0,0,4,0,0,0,0,0
83,WK0KKW,0,0,4,0,0,0,0,0
84,WK0KKW,1,0,4,0,0,0,0,0
85,WKK0KW,0,0,4,0,0,0,0,0
86,WKK0KW,-1,0,4,0,0,0,0,0
87,WK0KKW,1,0,4,0,0,0,0,0
88,WKK0KW,-1,0,4,0,0,0,0,0
89,WK0KKW,1,0,4,0,0,0,0,0
90,WKK0KC,0,0,4,0,0,0,0,0
91,WKK0KC,0,0,4,0,0,0,0,0
92,WKK0KC,0,0,4,0,0,1,0,0
93,WKK0KC,0,0,4,0,0,0,0,0
94,WKK0KC,0,0,4,0,0,0,0,0
95,WKK0KC,0,0,4,0,0,0,0,0
96,WKK0KC,0,0,4,0,0,0,0,0
97,0KK0KC,0,0,4,0,0,0,0,0
98,WKK0KW,0,0,4,0,0,0,0,0
99,WKK0KW,0,0,4,0,0,0,0,0
100,WKK0KW,0,0,4,0,0,0,0,1
101,WKK0KC,2,0,4,0,0,0,0,1
102,WKKKKW,1,0,4,0,0,0,0,1
103,K0KKKW,-1,0,4,0,0,0,0,0
104,WKKKKW,0,0,4,0,0,0,0,0
105,WKKKKW,0,0,4,0,0,0,0,0
106,WKKKKW,0,0,4,0,0,0,0,0
107,WKKKKW,1,0,4,0,0,0,0,0
108,K0KKKW,0,0,4,0,0,0,0,0
109,K0KKKW,-1,0,4,0,0,0,0,0
110,WKKKKW,0,0,4,0,0,0,0,0
111,WKKKKW,0,0,4,0,0,0,0,0
112,WKKKKW,0,0,4,0,0,0,0,0
113,WKKKKW,0,0,4,0,0,0,0,0
114,WKKKKW,0,0,4,0,0,0,0,0
115,WKKKKW,1,0,4,0,0,0,0,0
116,K0KKKW,1,0,4,0,0,0,0,0
117,KK0KKW,0,0,4,0,0,0,0,0
118,KK0KKW,-1,0,4,0,0,0,0,0
119,K0KKKW,-1,0,4,0,0,0,0,0
120,WKKKKW,0,0,4,0,0,0,0,0
121,WKKKKW,0,0,4,0,0,0,0,0
122,WKKKKW,0,0,4,0,0,0,0,0
123,WKKKKC,0,0,4,0,0,0,0,0
124,WKKKKC,0,0,4,0,0,0,0,0
125,WKKKKW,0,0,4,0,0,0,0,0
126,WKKKKW,0,0,4,0,0,0,0,0
127,WKKKKW,0,0,4,0,0,0,0,0
128,WKKKKW,2,0,4,0,0,0,0,0
129,KK0KKW,0,0,4,0,0,0,0,0
130,CK0KKW,1,0,4,0,0,0,0,0
131,CKK0KW,-1,0,4,0,0,0,0,0
132,WK0KKW,0,0,4,0,0,0,0,0
133,WK0KKW,0,0,4,0,0,0,0,0
134,WK0KKW,1,0,4,0,0,0,0,0
135,WKK0KC,-1,0,4,0,0,0,0,0
136,WK0KKW,1,0,4,0,0,0,0,0
137,WKK0KW,-1,0,4,0,0,0,0,0
138,WK0KKW,1,0,4,0,0,0,0,0
139,WKK0KC,0,0,4,0,0,0,0,0
140,WKK0KC,0,0,4,0,0,0,0,0
141,WKK0KC,0,0,4,0,0,0,0,0
142,0KK0KC,-1,0,4,0,0,0,0,0
143,WK0KKW,1,0,4,0,0,0,0,0
144,WKK0KW,0,0,4,0,0,0,0,0
145,WKK0KW,0,0,4,0,0,0,0,0
146,WKK0KC,0,0,4,0,0,0,0,0
147,WKK0KW,0,0,4,0,0,0,0,0
